f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
K,B,B,I,K,F,C,K,L,N,H,L,D,F,C,L
H,L,C,M,I,F,M,B,F,N,M,F,K,P,H,F
K,B,I,I,I,M,F,H,H,M,H,M,K,C,B,F
B,P,H,F,H,F,C,F,B,M,B,F,I,F,I,F
C,P,M,H,I,H,L,K,F,N,F,F,B,L,I,C
H,H,C,M,K,H,M,C,N,M,C,J,D,F,B,L
I,I,B,B,K,F,M,F,F,M,C,F,I,F,B,F
B,F,B,H,D,D,N,H,M,N,N,L,E,F,K,C
H,P,H,M,B,H,N,K,F,N,P,H,D,N,I,B
B,L,H,C,B,M,M,I,F,N,M,L,I,F,H,F
I,H,B,B,K,C,C,H,H,L,M,P,K,F,B,P
K,C,I,B,D,L,M,D,C,J,B,F,E,M,E,F
B,P,H,L,I,F,M,F,C,C,M,F,I,F,C,L
L,N,C,G,C,H,N,I,I,O,F,C,I,L,N,H
K,I,B,D,K,H,M,B,I,P,P,P,B,M,D,C
I,H,C,B,I,F,M,K,F,N,H,F,K,F,H,P
I,F,H,C,B,M,M,I,F,H,C,P,I,M,C,F
B,L,H,M,I,I,M,C,N,M,C,G,E,F,M,M
I,B,B,I,I,M,M,H,C,M,C,C,K,F,C,L
B,N,H,F,K,L,H,E,F,J,H,P,E,F,D,L
H,F,H,C,H,F,C,M,I,L,H,M,I,F,I,M
I,M,H,H,I,P,C,B,M,P,I,C,I,F,I,L
C,P,F,F,H,C,C,K,M,P,C,P,B,F,B,F
B,M,H,H,B,M,C,B,H,F,C,M,H,C,B,C
C,F,F,N,N,M,P,B,K,M,F,L,C,A,L,F
I,F,B,C,K,F,H,F,L,F,B,O,D,L,H,P
K,D,K,K,D,M,M,I,O,F,C,F,E,F,M,F
H,C,C,F,I,H,L,L,K,M,I,N,B,F,K,N
H,L,C,M,F,F,L,H,K,M,M,F,F,L,B,F
B,L,B,B,K,F,H,I,H,O,M,N,K,F,C,F
P,G,L,F,B,M,P,H,H,B,H,N,C,N,I,M
H,P,M,F,H,M,F,H,H,M,M,M,C,M,I,M
I,C,B,B,K,C,H,H,L,H,C,P,E,L,L,F
F,N,F,F,C,M,N,B,F,N,L,B,C,O,C,H
H,P,M,F,M,F,F,B,H,M,C,M,M,M,C,L
C,F,C,L,C,M,M,M,B,L,L,L,B,F,M,L
I,H,H,B,I,M,M,I,P,C,C,F,I,F,C,F
I,C,B,B,H,M,M,C,H,M,C,C,K,F,C,P
B,P,H,F,K,M,M,B,J,P,C,F,E,F,F,F
B,L,C,M,K,M,F,B,I,M,J,F,I,L,E,F
K,H,B,B,K,M,M,E,F,A,C,F,E,F,D,F
H,M,C,H,M,M,L,C,H,M,C,F,F,F,H,M
B,F,C,M,M,P,F,I,B,C,M,C,H,L,H,H
C,O,C,C,I,M,F,I,C,A,C,M,K,F,I,M
K,D,K,K,D,M,M,F,H,C,C,M,K,F,M,P
K,K,K,B,K,F,M,M,I,C,C,L,K,F,H,P
I,B,B,K,D,H,A,I,C,O,L,I,D,P,D,H
H,N,C,L,B,H,F,N,L,F,M,H,I,F,B,F
H,N,H,F,C,H,P,L,B,F,C,H,K,P,I,F
I,H,H,I,K,M,M,K,L,O,C,F,D,F,C,F
D,E,K,D,E,H,N,M,D,L,C,B,D,L,I,F
B,C,C,B,H,F,H,C,H,F,M,F,H,F,B,C
H,H,M,B,B,M,C,H,H,L,H,L,I,C,H,C
K,K,I,I,K,M,M,H,H,C,H,C,K,M,H,F
I,M,H,H,K,F,L,B,K,C,A,F,I,P,E,F
K,B,I,K,K,F,M,I,H,L,C,C,K,F,B,F
H,N,C,F,B,M,M,O,K,M,L,F,L,C,E,F
H,C,C,H,C,M,L,H,F,M,M,F,I,P,M,M
K,D,I,D,K,C,C,C,B,M,M,P,C,H,K,L
H,C,C,H,H,H,F,I,H,M,C,P,I,P,F,M
F,L,C,B,I,F,M,H,B,N,I,C,H,F,B,F
C,M,F,C,L,F,C,H,H,M,C,F,F,P,M,B
H,L,H,M,I,I,N,I,C,N,O,C,D,N,K,C
I,B,B,K,K,B,N,K,M,N,P,H,D,P,K,B
B,H,B,F,K,D,O,H,H,N,N,F,E,F,K,C
H,N,M,F,L,F,M,H,K,C,C,P,M,F,C,O
K,D,I,K,K,M,C,C,H,C,C,L,K,L,B,L
B,C,B,B,K,H,L,C,F,O,P,N,D,L,K,M
I,N,B,F,H,M,M,K,H,N,H,L,B,M,K,C
H,M,H,H,K,I,O,H,B,O,O,M,K,P,D,F
H,L,H,H,K,F,F,K,M,N,C,C,K,P,H,F
B,L,B,M,C,C,F,F,H,M,H,M,K,F,M,P
B,F,H,C,B,M,P,B,B,O,H,I,D,P,K,F
B,P,C,M,L,L,C,B,I,C,M,M,L,F,H,C
K,H,B,I,K,M,O,K,K,M,N,L,K,P,D,F
I,F,H,C,C,F,M,B,K,C,C,M,C,F,F,M
K,I,I,K,D,B,O,I,I,P,N,M,K,N,E,F
C,F,F,M,M,H,M,B,H,M,C,N,B,L,F,L
C,P,F,F,M,M,M,M,H,M,C,C,B,F,I,M
I,I,B,K,D,H,N,K,M,N,L,H,D,P,K,H
K,C,B,B,H,F,F,B,K,C,M,M,C,N,M,M
K,I,B,K,K,M,M,C,H,C,C,L,K,L,B,L
B,L,C,C,C,C,F,C,F,C,H,P,I,F,C,L
I,K,B,I,I,H,P,K,K,F,L,L,C,N,E,F
I,H,B,B,K,M,M,I,L,C,C,F,K,F,C,F
I,L,B,M,B,L,C,D,C,N,B,M,E,C,D,C
M,N,L,L,L,C,M,M,B,C,H,M,I,M,M,P
L,N,O,F,F,H,M,B,M,P,L,P,I,F,B,C
B,M,H,F,H,F,C,M,H,L,C,L,I,F,H,M
C,N,L,F,L,H,F,K,B,P,L,F,C,N,C,C
C,C,C,F,H,C,C,L,M,C,C,M,I,F,P,P
B,F,B,C,K,I,M,C,N,M,C,G,E,F,M,M
M,O,C,C,B,F,I,B,I,M,B,B,B,M,H,F
B,H,H,M,I,L,F,F,C,H,F,P,I,F,H,L
I,M,H,H,H,M,M,I,B,F,F,F,C,L,B,H
E,E,D,E,E,H,M,H,C,M,C,O,E,F,C,P
I,K,B,I,K,H,P,B,B,P,F,I,D,P,I,C
K,I,I,K,D,L,K,D,D,F,K,L,D,C,D,F
I,C,H,B,B,M,L,B,H,L,C,C,K,F,H,C
I,B,B,I,I,F,C,C,B,C,M,F,M,C,K,M
B,F,C,C,C,P,O,K,K,H,F,F,C,N,E,F
D,I,K,K,D,F,M,C,H,M,C,M,K,F,F,F
B,M,C,H,H,F,C,H,I,M,C,P,B,F,M,L
H,P,M,M,C,P,C,D,M,N,B,F,B,F,H,N
K,L,I,C,K,P,C,D,M,N,I,C,E,M,D,M
K,K,I,I,K,M,F,H,B,M,C,C,H,F,D,C
I,F,B,C,K,I,M,C,N,M,C,G,E,F,M,M
C,M,F,H,B,B,F,I,C,P,P,N,B,M,I,C
M,O,C,M,I,L,I,B,B,L,K,F,I,C,H,L
I,I,B,H,K,M,F,F,M,C,M,M,K,M,C,N
K,E,K,D,D,C,M,F,M,C,C,C,K,F,I,F
B,L,C,F,I,F,M,L,C,C,C,L,I,F,H,L
K,I,I,D,D,M,M,C,H,M,C,L,K,L,B,P
K,M,B,H,K,M,B,K,M,M,K,F,D,C,K,F
H,M,M,H,B,L,M,B,C,P,I,M,B,H,H,P
I,B,B,C,K,D,O,H,C,O,N,L,E,F,K,C
B,L,H,M,I,M,N,K,B,M,O,L,I,P,D,F
I,K,I,B,D,F,H,O,H,C,J,F,I,L,E,F
C,N,F,F,L,C,F,C,M,M,C,P,C,F,B,F
I,M,H,H,I,P,I,K,K,F,K,P,I,H,K,F
I,I,B,D,K,F,C,C,B,C,M,F,C,H,K,M
I,F,B,C,I,C,C,C,C,M,H,N,I,P,B,F
I,M,B,H,K,F,M,F,M,C,C,L,K,M,C,N
I,B,I,C,K,I,M,C,P,M,C,J,E,F,M,F
D,E,D,D,E,I,O,B,K,N,L,C,E,F,K,M
F,P,N,F,C,F,C,K,F,P,B,L,B,M,H,L
K,I,I,K,D,H,F,H,C,O,L,P,D,P,K,M
D,E,D,E,E,M,J,D,B,M,P,F,E,F,E,F
K,I,B,K,D,L,C,I,H,J,C,P,E,M,E,F
D,I,K,D,D,M,F,B,B,M,H,C,K,M,I,F
F,G,C,F,H,M,H,C,H,F,C,L,C,C,F,P
H,M,C,H,B,C,C,M,M,H,C,P,K,F,B,P
K,M,B,H,K,M,P,K,K,M,N,F,D,N,E,F
F,L,N,M,F,P,C,K,H,L,B,M,F,M,K,F
C,P,M,F,M,F,H,N,E,M,L,F,P,H,I,M
M,J,M,F,H,C,M,K,L,O,M,F,B,C,M,C
I,F,B,C,K,M,M,J,K,H,C,F,C,F,E,F
M,L,P,M,C,H,F,K,M,P,F,P,I,F,B,M
I,M,H,H,I,O,K,K,K,P,K,L,K,C,I,F
B,F,C,C,B,C,F,B,F,N,L,L,K,L,H,C
K,D,I,K,K,F,M,C,H,M,C,F,I,F,I,F
B,P,H,F,I,M,M,B,G,L,C,F,E,F,F,F
H,P,C,F,M,C,P,C,B,F,H,L,I,P,F,N
H,P,M,M,B,H,P,I,K,L,N,M,B,L,H,F
K,I,I,K,D,M,F,K,L,N,C,F,D,F,H,M
D,F,K,C,K,M,M,E,M,M,C,F,E,F,K,F
I,B,B,I,K,M,M,I,L,C,C,L,K,F,H,F
I,M,B,H,K,M,M,B,B,M,C,F,I,F,B,F
H,F,M,C,M,M,F,D,B,P,C,C,H,P,I,H
H,N,M,F,H,M,M,I,A,L,C,F,E,F,F,F
H,P,H,M,I,I,F,H,M,N,P,A,D,L,I,F
H,P,F,M,C,H,F,B,D,M,L,F,M,N,E,F
K,C,B,B,K,O,I,B,K,N,D,F,K,C,K,L
B,M,C,H,B,M,L,C,C,M,C,C,C,F,D,C
C,P,M,F,B,M,M,A,K,F,L,F,L,C,E,F
K,I,I,K,D,C,N,I,H,O,M,B,D,L,D,M
B,L,H,C,B,F,M,C,C,P,H,H,I,F,I,F
M,P,F,H,B,C,F,K,F,N,C,L,B,M,B,C
M,N,F,F,B,M,F,B,F,N,M,F,K,L,C,C
B,N,H,F,B,C,M,I,H,G,M,N,D,C,D,C
C,O,B,C,K,M,F,M,C,N,M,M,K,L,H,F
C,N,C,F,B,H,M,P,P,M,C,C,I,F,B,F
H,F,F,C,B,P,M,I,H,P,K,B,H,L,D,M
N,O,N,C,H,M,P,H,B,B,H,N,N,A,K,M
H,F,F,C,B,M,F,C,L,H,L,F,I,L,D,F
K,I,I,D,D,M,M,H,H,L,C,P,K,L,B,P
I,H,B,C,B,F,M,M,K,H,H,P,I,L,B,P
B,F,C,C,H,M,M,M,M,H,L,P,B,F,M,C
D,E,D,E,E,F,M,B,C,H,C,M,E,F,M,F
M,L,P,C,F,H,M,I,H,L,L,L,P,C,I,F
B,H,H,B,K,B,O,B,B,N,N,C,K,P,D,F
B,I,H,K,K,H,F,H,M,P,P,L,I,L,K,C
B,H,M,B,B,M,N,K,K,C,L,F,M,N,E,F
M,O,M,C,H,L,C,B,M,N,H,F,B,F,L,P
C,P,L,F,H,B,L,M,L,L,N,P,I,L,D,M
M,N,F,F,C,C,C,M,M,L,F,N,K,N,H,L
C,L,F,M,H,P,C,B,L,N,I,C,I,F,I,L
H,M,C,H,I,B,F,H,M,L,F,L,I,L,K,H
I,P,H,M,D,H,G,D,C,L,N,M,E,F,E,F
B,P,I,H,K,F,M,H,B,N,H,P,I,F,M,N
C,A,C,M,C,M,M,B,B,L,M,F,M,C,L,F
I,L,B,C,D,M,M,B,B,M,C,F,I,F,B,F
I,F,H,C,I,M,F,L,H,M,M,C,I,F,I,F
I,H,B,B,K,B,N,K,M,N,P,C,D,N,K,H
I,C,H,B,K,C,N,K,H,A,M,B,D,P,K,F
C,N,F,F,L,F,M,C,K,M,C,N,H,F,L,M
E,D,E,D,E,M,M,B,B,M,C,F,E,F,E,F
I,I,B,H,K,M,M,B,J,L,C,F,E,F,F,F
H,N,C,F,B,C,C,M,F,N,C,A,K,L,B,F
I,K,B,B,K,M,F,C,C,C,L,L,I,L,D,F
D,E,K,D,E,M,M,K,N,F,C,F,E,F,C,F
B,L,H,M,I,M,M,I,O,L,C,F,E,F,F,F
B,L,B,B,K,P,K,B,K,N,H,O,B,B,H,P
K,B,I,K,K,F,F,I,H,P,C,C,K,F,H,L
B,B,B,C,K,H,M,P,F,C,C,H,I,F,B,F
B,F,C,C,C,F,M,B,H,L,H,C,I,F,C,L
C,P,C,F,I,B,L,H,F,N,N,F,I,L,K,C
B,C,C,C,B,F,B,B,B,L,I,L,I,M,B,L
E,C,E,B,E,M,M,B,B,M,C,F,E,F,E,F
H,L,H,B,K,H,F,I,I,P,L,C,B,L,I,B
H,F,C,C,H,M,F,B,M,M,C,F,M,F,I,M
B,N,C,F,H,H,C,H,F,C,M,O,I,F,C,P
H,L,F,C,B,H,F,K,F,N,N,L,I,L,B,C
H,L,M,M,L,F,L,H,I,M,C,C,L,F,L,M
I,F,B,C,K,M,M,B,J,L,C,F,E,F,F,F
M,L,F,M,B,K,P,I,M,O,O,M,D,N,K,H
C,P,F,F,M,L,C,K,M,N,B,L,H,M,C,N
I,I,H,B,K,C,I,I,K,C,K,F,I,C,I,M
M,P,M,F,B,H,L,K,L,P,N,H,B,L,C,I
H,F,M,C,H,F,P,H,B,N,B,I,D,P,I,F
C,L,F,M,L,M,L,M,H,M,C,F,P,P,F,C
C,N,C,F,H,B,O,I,C,O,P,H,K,O,K,B
K,B,I,I,K,L,C,I,H,P,B,H,K,F,I,F
H,M,H,H,I,B,F,C,M,L,L,L,I,L,K,H
B,L,I,B,K,C,F,B,I,L,F,P,I,L,F,L
K,C,I,B,K,I,J,C,K,O,M,I,E,L,I,F
B,M,C,C,C,M,F,C,B,M,C,F,C,L,M,M
B,F,C,C,B,L,C,H,M,P,I,H,I,F,I,F
K,B,B,I,D,O,I,I,K,P,D,L,D,C,K,L
M,A,M,M,C,F,M,I,H,L,B,F,C,C,M,C
B,F,H,C,I,H,C,H,C,C,C,L,K,F,B,M
M,P,M,F,H,D,P,K,I,N,N,L,M,P,D,M
K,L,K,C,I,M,M,E,M,M,C,F,E,F,K,F
H,P,M,F,M,L,M,I,H,L,H,C,K,F,H,L
I,L,H,M,I,N,B,K,K,F,K,L,I,H,I,F
D,I,I,K,D,M,B,D,M,F,K,P,E,M,K,F
F,J,F,F,C,L,B,H,B,P,C,O,L,K,M,N
K,M,B,H,B,P,M,K,B,F,H,H,I,L,H,M
M,P,P,F,C,H,M,I,H,P,P,P,F,H,I,M
I,M,B,H,K,I,L,H,F,N,N,N,D,F,I,M
C,F,C,C,B,K,P,I,I,N,N,L,M,P,D,C
B,L,H,M,I,L,C,E,M,A,H,F,E,F,D,F
M,N,F,F,C,H,F,D,F,F,L,H,H,N,M,B
K,D,K,D,E,C,M,C,L,M,C,J,E,F,B,P
M,P,M,H,I,M,C,I,C,L,F,L,C,N,I,M
D,K,K,I,K,F,F,H,K,F,C,F,K,L,K,F
M,L,F,M,B,I,P,K,M,P,O,M,K,N,K,C
H,L,H,C,H,F,F,M,B,L,C,C,B,F,B,F
P,J,F,F,H,F,F,C,H,L,B,L,M,H,C,N
C,P,C,H,B,K,L,K,I,P,N,L,F,P,D,C
I,I,I,B,D,I,C,M,I,M,M,N,I,F,K,P
I,L,B,M,K,F,F,C,L,H,H,H,E,M,L,F
M,G,M,F,B,M,H,B,H,O,L,N,I,L,C,L
K,M,B,H,K,H,N,I,I,L,N,L,K,N,D,F
K,D,I,K,D,F,C,C,C,C,H,L,D,M,H,P
B,C,C,B,H,M,C,B,B,F,M,N,H,L,I,F
H,L,M,C,B,P,M,K,C,A,B,C,C,L,H,L
K,B,B,I,K,L,M,B,C,P,B,C,K,F,I,F
C,O,H,C,I,B,O,I,H,O,M,B,K,M,H,H
M,N,P,F,F,F,M,F,C,C,M,L,B,L,H,C
H,F,C,M,I,F,L,F,C,H,F,L,I,M,C,P
K,B,B,I,K,F,F,I,H,O,B,B,D,P,K,F
B,M,C,H,B,P,H,B,C,P,K,M,I,F,I,L
D,E,D,E,E,I,N,B,I,N,L,M,E,F,K,F
I,M,I,H,B,C,M,M,H,M,C,M,K,F,M,P
C,P,F,F,C,M,M,M,F,M,M,B,I,F,I,M
K,D,I,K,D,M,F,C,C,M,L,L,I,P,E,L
H,P,H,H,I,F,F,I,H,O,H,C,K,P,H,P
B,C,C,B,C,L,C,B,I,L,C,L,B,F,P,P
C,N,F,F,C,M,M,M,C,F,M,F,I,M,B,C
I,B,B,H,I,M,F,H,K,F,L,P,K,L,H,L
I,M,B,H,K,M,B,K,F,M,K,F,D,C,I,F
H,P,F,M,C,L,F,K,C,O,B,H,B,F,B,L
H,L,H,C,K,I,N,I,C,O,N,H,D,N,K,H
B,L,B,C,K,I,F,M,K,M,H,N,I,F,I,P
D,I,K,D,D,M,M,B,H,L,M,P,D,L,I,P
I,F,H,C,K,M,P,E,I,M,N,F,D,P,E,F
B,C,C,B,B,M,F,F,C,C,C,P,I,F,H,C
B,C,C,B,I,P,F,I,M,N,D,C,I,M,I,P
H,F,M,C,C,F,F,H,H,L,H,F,I,F,H,N
K,M,I,H,K,M,M,E,M,A,C,F,E,F,D,F
C,P,F,M,C,M,M,K,L,O,C,L,D,L,C,F
B,F,H,C,I,H,P,B,C,N,P,H,K,P,I,H
I,C,B,B,K,B,J,F,D,N,C,I,E,P,B,F
C,L,L,M,B,I,F,B,F,O,O,O,I,F,B,H
I,M,H,H,K,B,L,D,M,P,O,L,D,P,K,M
H,M,M,C,C,C,M,I,B,C,B,L,C,H,L,F
B,P,C,F,M,F,M,B,M,C,C,C,C,F,C,P
L,A,L,M,H,P,C,K,C,N,B,M,C,N,I,L
D,E,K,E,E,M,F,B,E,M,F,F,H,L,E,F
I,M,B,H,K,E,D,B,H,D,D,M,E,F,E,F
B,L,B,B,K,A,I,I,B,O,D,F,I,M,D,P
B,H,H,C,H,F,H,C,I,L,C,N,I,F,H,F
H,P,H,H,B,M,F,I,B,L,C,M,C,M,F,C
K,I,K,K,K,M,M,H,H,C,C,H,K,F,C,F
M,L,P,M,F,C,F,K,C,P,M,F,H,L,B,F
C,M,C,H,K,I,O,H,B,O,O,M,I,P,D,F
I,K,B,I,I,M,M,H,F,M,H,F,K,F,C,L
I,F,H,C,I,C,N,K,B,F,N,F,K,P,D,L
F,O,F,C,C,M,M,I,H,F,B,F,M,F,M,F
I,B,B,I,I,M,F,B,H,C,H,M,K,C,B,F
I,M,H,N,F,F,L,H,E,F,C,C,H,N,C,L
I,D,B,K,D,F,M,N,D,M,L,F,M,C,E,F
I,M,B,H,B,M,L,C,H,F,H,L,I,C,H,P
H,L,F,F,L,M,M,H,B,M,C,F,M,L,L,C
B,H,M,B,B,F,F,I,C,P,C,F,I,F,I,F
L,G,C,F,B,L,H,C,C,P,I,L,C,C,M,N
H,M,H,H,K,B,L,H,M,N,N,L,I,L,D,C
B,C,H,F,C,P,O,H,B,C,M,M,H,P,F,H
K,L,B,C,D,M,J,E,C,M,N,F,E,F,E,F
C,O,B,C,K,H,P,H,F,N,F,L,K,F,H,F
B,I,H,H,I,H,N,F,I,M,B,F,K,M,C,N
C,L,F,C,C,M,F,F,C,H,M,N,B,F,H,C
B,L,M,M,C,F,M,I,C,M,B,C,H,H,F,M
K,I,I,K,K,M,F,H,H,C,H,M,K,C,H,F
B,F,C,L,F,M,L,B,B,F,C,M,B,L,F,F
B,M,H,H,B,P,C,K,M,N,B,F,B,L,H,O
B,N,H,F,I,M,M,E,F,J,C,F,E,F,D,F
B,C,C,H,H,F,P,H,K,M,M,L,C,N,M,P
D,E,D,D,E,M,M,N,D,M,C,F,I,F,E,F
M,A,C,M,I,L,C,H,C,N,B,F,H,M,H,F
I,F,B,C,I,M,F,M,H,L,F,F,I,F,I,F
K,D,K,D,D,C,P,M,K,M,H,F,K,M,B,P
B,C,H,H,H,C,F,K,B,F,M,L,K,F,M,F
D,P,E,F,D,M,M,H,I,M,C,F,E,F,E,F
C,P,F,M,M,F,C,F,B,M,M,M,C,C,F,F
D,D,K,K,D,H,L,B,I,L,M,B,D,P,K,M
H,F,M,C,H,C,F,I,F,N,F,L,I,L,H,M
I,I,B,B,D,P,A,I,I,I,N,L,E,P,E,F
I,M,B,H,K,F,M,B,B,M,C,F,K,F,B,F
I,P,B,F,B,F,C,K,B,N,H,P,D,C,K,C
H,L,H,M,B,B,F,H,M,N,L,J,K,L,I,M
K,M,I,H,K,L,O,E,H,C,P,F,E,F,E,F
H,M,M,H,B,C,C,I,H,P,L,L,M,H,K,F
C,P,C,F,H,C,C,L,F,C,C,M,K,F,P,P
B,F,H,C,D,M,M,H,B,M,C,F,I,F,B,F
H,L,M,M,B,C,P,K,C,A,M,H,D,P,K,M
D,C,K,B,K,M,M,D,F,M,C,L,E,F,I,F
I,F,I,H,D,E,A,B,B,O,N,M,E,F,K,C
K,B,I,K,K,P,M,K,C,P,B,C,K,F,B,P
L,N,O,F,F,M,M,I,C,P,M,L,I,F,B,F
C,L,M,M,B,C,M,M,F,P,M,N,K,L,B,L
C,N,L,F,C,C,O,B,B,A,C,I,D,P,I,F
I,L,B,C,K,B,O,L,K,P,C,B,D,P,B,F
M,P,M,M,H,I,F,H,M,P,L,L,I,L,K,C
H,N,M,F,M,L,M,B,H,P,B,H,I,F,I,F
H,N,H,F,I,H,P,P,B,L,C,H,K,P,B,F
I,M,H,H,B,F,L,B,I,F,H,C,C,L,C,B
I,C,H,H,B,L,M,I,H,M,F,C,B,P,I,H
B,M,H,C,K,F,F,F,C,H,F,L,I,F,H,P
B,C,H,B,I,L,H,I,F,N,B,L,K,M,C,P
K,H,I,I,K,L,C,I,H,P,B,M,I,M,K,F
B,L,B,M,D,E,E,C,C,E,D,H,E,F,E,F
B,L,C,M,I,C,I,D,L,F,K,N,E,M,K,F
H,F,M,C,M,F,F,M,B,F,H,C,B,M,M,N
I,B,B,C,D,H,M,C,L,M,C,J,D,L,B,L
C,N,F,F,H,B,P,B,L,N,P,L,K,F,H,B
C,N,F,F,H,M,O,F,I,N,B,K,D,P,H,M
B,K,C,B,B,F,N,K,K,C,L,F,M,N,D,F
D,I,K,K,D,C,P,D,H,M,N,L,D,N,D,F
I,M,H,H,I,M,L,C,H,M,C,M,H,L,K,C
I,H,B,B,K,M,C,C,H,C,C,L,K,L,B,L
I,H,H,M,H,F,O,I,I,H,F,N,I,A,B,L
I,C,H,B,H,F,M,B,B,M,H,M,H,P,C,B
H,H,C,F,I,F,C,F,F,H,H,F,I,F,B,F
H,P,H,M,K,M,B,G,C,M,A,F,I,L,E,F
C,L,H,B,K,F,F,I,C,O,H,C,K,F,C,M
B,I,H,H,I,C,L,F,M,M,C,C,K,F,L,P
I,I,B,K,D,B,O,I,I,L,N,M,K,P,E,F
K,B,I,I,K,L,C,B,H,P,B,H,K,F,K,F
H,H,M,F,I,F,F,M,M,C,F,L,I,M,C,L
B,C,B,B,K,M,B,J,H,M,A,F,I,L,E,F
B,H,H,B,B,M,M,M,M,M,C,H,K,F,I,M
C,L,F,M,B,M,P,H,B,O,H,I,D,P,I,L
H,F,M,C,I,L,B,I,C,C,M,B,D,P,B,M
B,M,C,C,M,M,C,B,I,M,C,L,C,N,F,O
B,C,H,B,C,F,P,H,B,F,H,C,B,L,F,M
H,P,M,F,I,M,M,I,C,G,C,P,I,F,K,F
H,L,C,M,H,M,L,B,C,C,B,F,B,H,C,L
H,P,H,H,B,L,C,H,C,P,C,M,B,F,L,L
I,H,H,B,I,C,B,B,B,H,B,M,I,H,H,M
B,P,H,F,I,F,A,E,H,M,P,F,E,F,E,F
B,M,C,H,H,P,C,D,M,N,B,F,I,F,H,N
I,M,I,B,K,B,N,L,I,L,C,B,D,P,I,F
K,I,I,D,D,H,N,D,M,N,L,H,E,L,K,H
D,D,K,D,E,F,L,K,K,M,O,F,D,P,E,F
K,F,I,C,D,M,M,E,M,A,C,F,E,F,D,F
H,B,H,M,I,H,C,P,L,H,B,H,I,F,B,F
B,B,C,H,B,F,L,B,H,M,C,L,I,M,F,F
H,M,M,C,M,M,F,B,F,M,M,F,I,L,F,M
D,C,K,B,D,J,K,C,H,A,D,L,E,M,E,F
H,C,C,C,H,H,M,C,M,C,H,C,B,M,H,C
H,L,M,C,C,L,M,I,C,N,H,C,B,M,B,F
K,F,I,C,K,L,C,I,C,O,B,L,D,C,K,C
I,I,B,K,K,F,C,C,I,C,M,F,C,C,D,M
C,L,F,F,M,M,B,H,C,M,B,L,H,H,M,M
K,E,I,D,D,F,F,B,E,M,F,F,C,P,E,F
K,I,I,K,K,F,N,I,C,C,P,F,K,N,D,F
H,L,M,M,B,H,I,I,L,C,D,L,D,C,I,M
B,M,H,H,H,F,F,M,I,F,H,M,B,F,C,N
B,M,C,C,H,L,H,K,I,F,B,L,B,M,C,O
I,I,B,D,K,I,N,I,K,P,P,F,H,N,E,M
K,M,I,B,D,B,N,F,I,P,C,B,D,P,I,F
E,D,E,D,E,M,M,B,B,M,C,F,E,F,E,F
B,L,C,M,I,F,F,H,K,C,F,F,F,P,E,F
H,L,M,M,M,P,N,K,K,C,F,M,L,A,K,F
I,K,B,B,I,F,F,C,K,H,M,P,I,F,H,P
H,N,M,F,M,L,F,I,H,P,B,M,H,H,B,P
D,D,K,D,E,M,B,K,E,M,K,F,K,M,D,F
B,N,H,F,H,M,N,B,C,M,N,F,I,O,D,F
H,F,F,C,N,M,M,M,K,M,C,F,G,O,B,N
L,G,L,F,H,P,B,B,C,O,K,F,H,C,H,P
M,P,M,F,H,M,M,F,C,P,M,L,I,F,B,M
H,N,M,F,H,B,F,D,F,L,P,P,K,L,I,H
H,N,H,C,I,C,H,H,B,M,L,P,H,C,K,L
D,D,D,D,E,O,I,C,B,A,B,N,E,M,E,F
B,B,C,I,B,H,C,B,B,P,P,P,C,H,K,M
B,H,H,M,I,F,M,F,C,C,M,L,I,F,H,L
B,L,C,M,H,F,M,I,H,C,C,M,I,L,L,L
D,E,D,D,E,F,M,C,I,C,C,L,K,F,K,F
K,K,K,I,K,M,M,C,H,M,C,C,K,F,H,P
B,H,H,I,K,B,F,B,F,N,L,O,D,L,I,M
H,P,C,M,B,C,M,M,M,P,M,N,K,P,B,L
B,L,B,C,K,F,H,J,H,C,J,F,I,L,E,F
B,H,M,B,B,H,M,K,F,P,L,P,I,F,B,C
B,L,H,M,B,M,M,F,H,P,C,M,I,F,I,F
B,M,C,H,I,M,M,M,C,M,C,F,B,L,B,F
K,B,I,I,K,F,M,I,F,C,C,C,K,F,H,F
H,M,C,H,B,L,M,B,M,P,I,M,K,M,H,P
I,K,I,I,K,F,F,M,H,F,H,M,K,F,F,F
I,I,B,B,D,K,A,H,B,O,P,C,E,F,K,C
I,B,B,I,K,H,N,B,C,N,L,H,D,P,I,C
K,I,B,K,K,M,F,K,M,N,M,F,K,F,I,F
I,B,B,C,I,N,H,I,B,L,I,M,D,M,C,L
I,C,B,B,I,C,M,B,M,C,C,P,I,F,H,L
C,P,L,F,C,M,M,E,F,L,C,F,I,F,B,M
M,C,P,C,P,M,F,B,B,M,H,M,N,F,H,H
B,H,B,F,I,M,F,G,D,M,H,F,I,F,E,F
K,I,B,K,K,M,F,K,L,O,M,M,D,F,H,M
D,M,K,H,D,N,I,P,I,O,M,A,D,C,E,F
H,M,M,H,I,M,F,B,D,C,F,F,F,L,E,F
C,L,H,H,B,C,M,H,C,L,C,M,H,L,C,H
I,I,I,B,K,M,B,J,H,M,O,F,I,L,E,F
M,L,P,C,M,L,M,D,C,P,I,F,C,M,H,P
H,N,C,F,C,M,F,H,L,M,M,L,D,L,M,M
M,P,F,F,B,L,M,B,L,N,C,M,K,P,H,F
